# All results are based on NASS CropScape crops
Field-ID or HRU-ID, NASS CropScape Year, Vegetation or Crop, Confidence-Value(fraction)
17,2017,Fallow/Idle Cropland,0.01
17,2018,Other Hay/Non Alfalfa,0.286
17,2018,Grass/Pasture,0.236
17,2018,Alfalfa,0.213
17,2018,Corn,0.03
17,2018,Shrubland,0.02
17,2018,Fallow/Idle Cropland,0.019
17,2018,Herbaceous Wetlands,0.003
18,2008,Fallow/Idle Cropland,0.476
18,2008,Winter Wheat,0.389
18,2008,Grass/Pasture,0.003
18,2008,Developed/Open Space,0.002
18,2008,Sorghum,0.001
18,2008,Spring Wheat,0.001
18,2009,Fallow/Idle Cropland,0.704
18,2009,Winter Wheat,0.193
18,2009,Grass/Pasture,0.008
18,2009,Developed/Open Space,0.004
18,2009,Other Hay/Non Alfalfa,0.003
18,2009,Barley,0.002
18,2009,Alfalfa,0.001
18,2010,Winter Wheat,0.465
18,2010,Fallow/Idle Cropland,0.393
18,2010,Grass/Pasture,0.019
18,2010,Barley,0.016
18,2010,Developed/Open Space,0.004
18,2010,Other Hay/Non Alfalfa,0.003
18,2010,Triticale,0.001
18,2011,Fallow/Idle Cropland,0.47
18,2011,Winter Wheat,0.373
18,2011,Grass/Pasture,0.018
18,2011,Other Hay/Non Alfalfa,0.014
18,2011,Developed/Open Space,0.006
18,2011,Barley,0.001
18,2012,Winter Wheat,0.35
18,2012,Fallow/Idle Cropland,0.319
18,2012,Grass/Pasture,0.164
18,2012,Developed/Open Space,0.009
18,2012,Barley,0.001
18,2012,Triticale,0.001
18,2013,Winter Wheat,0.457
18,2013,Fallow/Idle Cropland,0.385
18,2013,Developed/Open Space,0.008
18,2013,Grass/Pasture,0.006
18,2013,Other Hay/Non Alfalfa,0.001
18,2014,Fallow/Idle Cropland,0.439
18,2014,Winter Wheat,0.426
18,2014,Other Hay/Non Alfalfa,0.014
18,2014,Developed/Open Space,0.008
18,2014,Dbl Crop WinWht/Corn,0.004
18,2014,Grass/Pasture,0.003
18,2014,Triticale,0.001
18,2014,Other Crops,0.0
18,2015,Fallow/Idle Cropland,0.527
18,2015,Winter Wheat,0.325
18,2015,Developed/Open Space,0.012
18,2015,Grass/Pasture,0.002
18,2016,Winter Wheat,0.58
18,2016,Fallow/Idle Cropland,0.288
18,2016,Other Hay/Non Alfalfa,0.036
18,2016,Developed/Open Space,0.012
18,2016,Barley,0.005
18,2016,Grass/Pasture,0.002
18,2016,Corn,0.001
18,2017,Fallow/Idle Cropland,0.462
18,2017,Winter Wheat,0.4
18,2017,Developed/Open Space,0.007
18,2017,Millet,0.007
18,2017,Other Hay/Non Alfalfa,0.004
18,2017,Alfalfa,0.002
18,2017,Grass/Pasture,0.002
18,2017,Corn,0.001
18,2017,Oats,0.0
18,2018,Winter Wheat,0.548
18,2018,Fallow/Idle Cropland,0.311
18,2018,Developed/Open Space,0.007
18,2018,Other Hay/Non Alfalfa,0.006
18,2018,Triticale,0.004
18,2018,Grass/Pasture,0.002
18,2018,Rye,0.002
19,2008,Winter Wheat,0.395
19,2008,Corn,0.253
19,2008,Alfalfa,0.247
19,2009,Alfalfa,0.757
19,2009,Grass/Pasture,0.075
19,2010,Corn,0.945
19,2011,Alfalfa,0.745
19,2011,Corn,0.132
19,2012,Corn,0.51
19,2012,Alfalfa,0.246
19,2012,Other Hay/Non Alfalfa,0.119
19,2013,Alfalfa,0.895
19,2014,Alfalfa,0.734
19,2014,Corn,0.129
19,2015,Corn,0.396
19,2015,Alfalfa,0.373
19,2015,Fallow/Idle Cropland,0.12
19,2016,Corn,0.4
19,2016,Alfalfa,0.374
19,2016,Dry Beans,0.109
19,2017,Alfalfa,0.751
19,2017,Winter Wheat,0.129
19,2018,Alfalfa,0.727
19,2018,Corn,0.128
20,2008,Winter Wheat,0.897
20,2008,Fallow/Idle Cropland,0.011
20,2008,Developed/Open Space,0.002
20,2009,Fallow/Idle Cropland,0.826
20,2009,Other Hay/Non Alfalfa,0.074
20,2009,Winter Wheat,0.012
20,2010,Winter Wheat,0.509
20,2010,Barley,0.269
20,2010,Fallow/Idle Cropland,0.036
20,2010,Developed/Open Space,0.004
20,2010,Triticale,0.003
20,2011,Fallow/Idle Cropland,0.666
20,2011,Winter Wheat,0.159
20,2011,Grass/Pasture,0.029
20,2011,Developed/Open Space,0.005
20,2012,Winter Wheat,0.641
20,2012,Barley,0.229
20,2012,Grass/Pasture,0.009
20,2012,Developed/Open Space,0.008
20,2013,Fallow/Idle Cropland,0.784
20,2013,Grass/Pasture,0.038
20,2013,Winter Wheat,0.011
20,2013,Developed/Open Space,0.008
20,2014,Winter Wheat,0.881
20,2014,Fallow/Idle Cropland,0.035
20,2014,Developed/Open Space,0.008
20,2014,Dbl Crop WinWht/Corn,0.003
20,2015,Other Hay/Non Alfalfa,0.399
20,2015,Corn,0.252
20,2015,Alfalfa,0.136
20,2015,Fallow/Idle Cropland,0.011
20,2015,Developed/Open Space,0.01
20,2016,Alfalfa,0.792
20,2016,Other Hay/Non Alfalfa,0.047
20,2016,Winter Wheat,0.012
20,2016,Developed/Open Space,0.011
20,2017,Alfalfa,0.843
20,2017,Fallow/Idle Cropland,0.011
20,2017,Other Hay/Non Alfalfa,0.01
20,2017,Developed/Open Space,0.007
20,2018,Alfalfa,0.815
20,2018,Winter Wheat,0.012
20,2018,Other Hay/Non Alfalfa,0.009
20,2018,Developed/Open Space,0.006
21,2008,Winter Wheat,0.631
21,2008,Corn,0.101
21,2008,Fallow/Idle Cropland,0.1
21,2008,Triticale,0.016
21,2008,Grass/Pasture,0.005
21,2008,Developed/Open Space,0.004
21,2009,Fallow/Idle Cropland,0.764
21,2009,Winter Wheat,0.054
21,2009,Alfalfa,0.05
21,2009,Grass/Pasture,0.015
21,2009,Developed/Open Space,0.013
21,2010,Barley,0.388
21,2010,Alfalfa,0.098
21,2010,Winter Wheat,0.055
21,2010,Corn,0.054
21,2010,Grass/Pasture,0.041
21,2010,Dry Beans,0.031
21,2010,Fallow/Idle Cropland,0.026
21,2010,Other Hay/Non Alfalfa,0.023
21,2010,Developed/Open Space,0.009
21,2011,Fallow/Idle Cropland,0.733
21,2011,Corn,0.079
21,2011,Grass/Pasture,0.025
21,2011,Developed/Open Space,0.011
21,2012,Fallow/Idle Cropland,0.373
21,2012,Winter Wheat,0.299
21,2012,Triticale,0.076
21,2012,Corn,0.026
21,2012,Sugarbeets,0.023
21,2012,Developed/Open Space,0.018
21,2013,Fallow/Idle Cropland,0.641
21,2013,Winter Wheat,0.173
21,2013,Grass/Pasture,0.017
21,2013,Developed/Open Space,0.017
21,2014,Winter Wheat,0.538
21,2014,Alfalfa,0.22
21,2014,Fallow/Idle Cropland,0.051
21,2014,Other Hay/Non Alfalfa,0.049
21,2014,Grass/Pasture,0.021
21,2014,Developed/Open Space,0.018
21,2015,Fallow/Idle Cropland,0.598
21,2015,Corn,0.237
21,2015,Developed/Open Space,0.023
21,2016,Winter Wheat,0.844
21,2016,Corn,0.027
21,2016,Fallow/Idle Cropland,0.026
21,2016,Developed/Open Space,0.023
21,2016,Barley,0.021
21,2017,Fallow/Idle Cropland,0.657
21,2017,Corn,0.184
21,2017,Alfalfa,0.025
21,2017,Developed/Open Space,0.014
21,2018,Winter Wheat,0.651
21,2018,Corn,0.128
21,2018,Fallow/Idle Cropland,0.049
21,2018,Alfalfa,0.024
21,2018,Rye,0.02
21,2018,Developed/Open Space,0.014
22,2008,Winter Wheat,0.844
22,2008,Fallow/Idle Cropland,0.037
22,2008,Corn,0.025
22,2008,Grass/Pasture,0.002
22,2009,Fallow/Idle Cropland,0.78
22,2009,Winter Wheat,0.033
22,2009,Triticale,0.021
22,2009,Sunflower,0.016
22,2009,Grass/Pasture,0.015
22,2009,Corn,0.013
22,2009,Alfalfa,0.012
22,2009,Barley,0.006
22,2009,Dry Beans,0.006
22,2010,Winter Wheat,0.488
22,2010,Barley,0.285
22,2010,Alfalfa,0.024
22,2010,Corn,0.013
22,2010,Dry Beans,0.008
22,2010,Grass/Pasture,0.007
22,2010,Triticale,0.002
22,2011,Corn,0.479
22,2011,Fallow/Idle Cropland,0.198
22,2011,Winter Wheat,0.152
22,2011,Grass/Pasture,0.04
22,2011,Dry Beans,0.004
22,2012,Fallow/Idle Cropland,0.286
22,2012,Corn,0.219
22,2012,Dry Beans,0.125
22,2012,Sugarbeets,0.061
22,2012,Winter Wheat,0.046
22,2012,Triticale,0.022
22,2012,Other Hay/Non Alfalfa,0.012
22,2012,Alfalfa,0.006
22,2013,Winter Wheat,0.537
22,2013,Fallow/Idle Cropland,0.29
22,2013,Sugarbeets,0.018
22,2013,Millet,0.012
22,2013,Grass/Pasture,0.004
22,2014,Fallow/Idle Cropland,0.499
22,2014,Winter Wheat,0.356
22,2014,Alfalfa,0.03
22,2014,Corn,0.013
22,2014,Grass/Pasture,0.005
22,2014,Dry Beans,0.005
22,2015,Alfalfa,0.45
22,2015,Fallow/Idle Cropland,0.328
22,2015,Corn,0.077
22,2015,Triticale,0.004
22,2016,Alfalfa,0.469
22,2016,Winter Wheat,0.38
22,2016,Fallow/Idle Cropland,0.038
22,2016,Corn,0.02
22,2017,Alfalfa,0.503
22,2017,Fallow/Idle Cropland,0.272
22,2017,Corn,0.045
22,2017,Dry Beans,0.019
22,2017,Winter Wheat,0.019
22,2017,Other Hay/Non Alfalfa,0.011
22,2017,Sorghum,0.005
22,2018,Alfalfa,0.504
22,2018,Winter Wheat,0.299
22,2018,Corn,0.038
22,2018,Fallow/Idle Cropland,0.012
22,2018,Other Hay/Non Alfalfa,0.01
22,2018,Sugarbeets,0.006
23,2008,Other Hay/Non Alfalfa,0.379
23,2008,Grass/Pasture,0.076
23,2008,Fallow/Idle Cropland,0.018
23,2008,Developed/Open Space,0.002
23,2009,Grass/Pasture,0.488
23,2009,Other Hay/Non Alfalfa,0.03
23,2009,Fallow/Idle Cropland,0.011
23,2009,Developed/Open Space,0.007
23,2010,Grass/Pasture,0.335
23,2010,Other Hay/Non Alfalfa,0.195
23,2010,Fallow/Idle Cropland,0.007
23,2010,Developed/Open Space,0.005
23,2010,Herbaceous Wetlands,0.004
23,2011,Grass/Pasture,0.325
23,2011,Other Hay/Non Alfalfa,0.13
23,2011,Fallow/Idle Cropland,0.021
23,2011,Herbaceous Wetlands,0.008
23,2011,Developed/Open Space,0.006
23,2011,Alfalfa,0.004
23,2012,Triticale,0.425
23,2012,Alfalfa,0.017
23,2012,Developed/Open Space,0.01
23,2012,Fallow/Idle Cropland,0.004
23,2013,Grass/Pasture,0.473
23,2013,Other Hay/Non Alfalfa,0.137
23,2013,Winter Wheat,0.028
23,2013,Developed/Open Space,0.01
23,2014,Other Hay/Non Alfalfa,0.291
23,2014,Grass/Pasture,0.274
23,2014,Fallow/Idle Cropland,0.198
23,2014,Alfalfa,0.01
23,2014,Developed/Open Space,0.01
23,2014,Rye,0.008
23,2015,Grass/Pasture,0.335
23,2015,Oats,0.152
23,2015,Other Hay/Non Alfalfa,0.062
23,2015,Winter Wheat,0.056
23,2015,Fallow/Idle Cropland,0.044
23,2015,Alfalfa,0.018
23,2015,Developed/Open Space,0.013
23,2015,Corn,0.011
23,2015,Herbaceous Wetlands,0.002
23,2016,Fallow/Idle Cropland,0.551
23,2016,Corn,0.166
23,2016,Other Hay/Non Alfalfa,0.074
23,2016,Grass/Pasture,0.064
23,2016,Dry Beans,0.015
23,2016,Developed/Open Space,0.013
23,2016,Shrubland,0.003
23,2017,Other Hay/Non Alfalfa,0.298
23,2017,Grass/Pasture,0.187
23,2017,Alfalfa,0.099
23,2017,Corn,0.097
23,2017,Fallow/Idle Cropland,0.082
23,2017,Sugarbeets,0.035
23,2017,Winter Wheat,0.015
23,2017,Developed/Open Space,0.008
23,2017,Herbaceous Wetlands,0.005
23,2017,Oats,0.001
23,2018,Fallow/Idle Cropland,0.379
23,2018,Other Hay/Non Alfalfa,0.178
23,2018,Grass/Pasture,0.083
23,2018,Alfalfa,0.079
23,2018,Winter Wheat,0.029
23,2018,Oats,0.025
23,2018,Corn,0.014
23,2018,Developed/Open Space,0.008
23,2018,Herbaceous Wetlands,0.004
23,2018,Millet,0.003
